Kosten Aqua,Charakter Pipeline,Element,Kartenart,⭕️,Kartentext,Kartentyp,Design Skelett,Kosten Ignis,ID,Erstellungsdatum,⚔️,Flavourtext,Erstellt von,Kosten Ungeprägt,Idee Brackground,🛡️,Slot zugewiesen,Status,Kosten Aeris,Einzigartig,Set Release,Kartentext-Planung,Kosten Terra,Kosten Magica,Letzte Änderung,Rarität,Name,PageID,Row_Hash
,[],[],[],,,[],[],,77,2023-09-12T16:51:00.000Z,,,87776999-89a3-4cbd-a16c-13b2b242d37e,,['Erste Ideen'],,False,Backup,,False,[],,,,2025-08-10T18:21:00.000Z,,Neunauge,00b913c9-9a71-4454-83d8-f5a2ed061e0a,4613415693
,[],[],[],,,[],[],,134,2023-10-22T19:26:00.000Z,10,,b2c31dd8-6b8b-45b6-a112-46d0b40a900e,,[],10,False,Backup,,False,[],"Falls diese Karte vom Feld auf den Friedhof gelegt wird, füge eine Baumsängerin deiner Hand hinzu",,,2023-11-23T20:39:00.000Z,,Baumsängerin Sativa,00de67c4-044c-4fb1-9594-6b5704b3a907,4127721408
,[],[],[],,"<ability>Sofort spielbar</ability> <desc>Du darfst <self>mich</self> jederzeit spielen.</desc>
Bringe einen befreundeten <kind>Charakter</kind>, der diesen <key>Zug</key> <key>gestorben</key> ist, vom <zone>Friedhof</zone> in <key>Angriffsposition</key> zurück aufs <zone>Feld</zone>.",[],[],,224,2023-11-27T12:56:00.000Z,,"Wo Terra will, wächst Hoffnung selbst aus toter Asche.",938edbfe-c6a0-4a7c-836a-d922df505f98,1,[],,False,TCG Arena,,False,[],"Sofort spielbar
Bringe einen Charakter, der diesen Zug gestorben ist vom Friedhof in Angrffsposition zurück aufs Feld",2.0,,2025-10-27T15:38:00.000Z,,Nachwachsen,00e13bd1-3bef-49bc-847b-6ae83e6f53a9,5473121649
,[],[],[],,,[],[],,238,2023-11-27T13:17:00.000Z,,,938edbfe-c6a0-4a7c-836a-d922df505f98,,['Erste Ideen'],,False,Backup,,False,[],Mische alle Charaktere und Manifestationen in des Deck des Besitzers zurück.,,,2025-08-10T18:22:00.000Z,,Zeitsprung,00ef3b54-7a33-4ee0-8f2a-b2296f04c78d,9728141351
,[],[],[],1.0,,[],[],,324,2024-02-14T21:15:00.000Z,,,938edbfe-c6a0-4a7c-836a-d922df505f98,,['Erste Ideen'],,False,Backup,,False,[],"Immer, wenn ein Spieler eine oder mehr Karten zieht, muss er 3 Elemente bezahlen, oder er verliert einen Schild.",,,2025-08-10T18:22:00.000Z,,Schwäche des Landes,00f1c4a5-8faf-40a2-a055-7923c1760245,4303238973
,[],[],[],,,[],[],,292,2023-12-18T20:51:00.000Z,30/30,,938edbfe-c6a0-4a7c-836a-d922df505f98,2,[],25/35,True,Export,,False,[],"Schildbrecher (Falls ich einen blockenden Charakter zerstört, füge den restlichen Schaden dem ursprünglichen Ziel zu)",3.0,,2025-12-20T14:07:00.000Z,Common,Eisernes Terrakind,0143d82a-c4f2-43f9-a158-bc6487cac339,1589300795
,[],[],[],,,[],[],,58,2023-09-09T23:40:00.000Z,25,,87776999-89a3-4cbd-a16c-13b2b242d37e,,['Erste Ideen'],10,False,Backup,,False,[],Untitled,,,2025-08-10T18:22:00.000Z,,Sirene Thalassa,01693bf0-618c-4bd2-9e71-0b24869cf3df,3985339723
,[],[],[],,<ability>Sofort spielbar</ability> <desc>Du darfst <self>mich</self> jederzeit spielen.</desc>,[],[],,391,2024-03-31T16:46:00.000Z,5/5,,9cdffd73-9e9c-43b8-a9e5-754524c97de8,,[],5/10,True,Export,1.0,False,[],Sofort Spielbar,,,2025-10-27T21:12:00.000Z,Common,Windiger Jäger,023a6762-aae2-4b1e-885e-6e981514e7ab,3220214371
,[],[],[],,,[],[],,432,2024-06-10T12:17:00.000Z,5/5,Sag niemals ihren Namen.,9cdffd73-9e9c-43b8-a9e5-754524c97de8,1,['Vittel'],5/5,False,Backup,,False,[],"Monster
Wenn dieser Charakter das Feld betritt, erhalte eine zufällige Manifestation aus deinem Deck auf die Hand.",,,2025-08-10T18:23:00.000Z,,Namenlose Katze,02647e36-2f90-468e-98c9-daa2a99cd1c3,8676102571
,[],[],[],,,[],[],,84,2023-09-14T19:44:00.000Z,30,,64d6852f-afd2-42dc-be8d-a52c7535ed01,,['Erste Ideen'],20,False,Backup,,False,[],Als ,,,2025-08-10T18:21:00.000Z,,Verrückter Narr,02913adc-5fa1-4825-a0b8-5eb99b7cc5f2,3069251410
